link_governor,link_administration,governor,region
https://vk.com/muratkumpilov,https://vk.com/adygheya_gov,Мурат Кумпилов,Республика Адыгея
https://vk.com/olegkhorokhordin,https://vk.com/altairepublic04,Олег Хорохордин,Республика Алтай
https://vk.com/radiyhabirov,https://vk.com/glavbash,Радий Хабиров,Республика Башкортостан
https://vk.com/alexey.tsydenov,https://vk.com/buryatiaofficial,Алексей Цыденов,Республика Бурятия
https://vk.com/s.a.melikov,https://vk.com/respublica_dagestan,Сергей Меликов,Республика Дагестан
https://vk.com/kalimatovmm,https://vk.com/ingushetia_gov,Махмуд-Али Калиматов,Республика Ингушетия
https://vk.com/kazbek_kokov,https://vk.com/propravitelstvokbr,Казбек Коков,Кабардино-Балкарская Республика
https://vk.com/batu80,https://vk.com/kalmregionru,Бату Хасиков,Республика Калмыкия
https://vk.com/rashidtemrezov,https://vk.com/pravitelstvo_kchr,Рашид Темрезов,Карачаево-Черкесская Республика
https://vk.com/aparfenchikov,https://vk.com/gov_karelia_ru,Артур Парфенчиков,Республика Карелия
https://vk.com/vladimiruiba,https://vk.com/pressrkomi,Владимир Уйба,Республика Коми
https://vk.com/yvzaitsev,https://vk.com/govrme,Юрий Зайцев,Республика Марий-Эл
https://vk.com/artem_zdunov,https://vk.com/officialmordovia,Артём Здунов,Республика Мордовия
https://vk.com/aisennikolaev14,https://vk.com/sakhagov,Айсен Николаев,Республика Саха (Якутия)
https://vk.com/sergey.meniaylo,https://vk.com/alania_gov_ru,Сергей Меняйло,Республика Северная Осетия-Алания
https://vk.com/rnm,https://vk.com/nashtatarstan,Рустам Минниханов,Республика Татарстан
https://vk.com/vladislavkhovalyg,https://vk.com/gov.tuva,Владислав Ховалыг,Республика Тыва
https://vk.com/a.brechalov,https://vk.com/udmurt_gov,Александр Бречалов,Удмуртская Республика
https://vk.com/konovalov1917,https://vk.com/gov.khakassia,Валентин Коновалов,Республика Хакасия
https://vk.com/ramzan,https://vk.com/public219673674,Рамзан Кадыров,Чеченская Республика
https://vk.com/olegnikolaev1969,https://vk.com/gov_cap_ru,Олег Николаев,Чувашская Республика
https://vk.com/viktor_tomenko,https://vk.com/altairegion22,Виктор Томенко,Алтайский край
https://vk.com/osipov__officially,https://vk.com/zabnewsregion,Александр Осипов,Забайкальский Край
https://vk.com/vvsolodov,https://vk.com/kamgov41,Владимир Солодов,Камчатский Край
https://vk.com/kondratyevvi,https://vk.com/kuban_gov,Вениамин Кондратьев,Краснодарский Край
https://vk.com/mkotyukov,https://vk.com/krasnoyarskkr,Михаил Котюков,Красноярский край
https://vk.com/mahonindn,https://vk.com/permkrai20,Дмитрий Махонин,Пермский Край
https://vk.com/kozhemyako_oleg,https://vk.com/primorskykray,Олег Кожемяко,Приморский Край
https://vk.com/vladimirvladimirov5807,https://vk.com/stav_region,Владимир Владимиров,Ставропольский Край
https://vk.com/mikhail_degtyarev27,https://vk.com/khabkrai,Михаил Дегтярёв,Хабаровский Край
https://vk.com/orlovamur,https://vk.com/amuroblgov,Василий Орлов,Амурская область
https://vk.com/a.tsybulskiy,https://vk.com/arkhangelsk_reg,Александр Цыбульский,Архангельская область
https://vk.com/babushkin_iyu,https://vk.com/astrakhan_governor,Игорь Бабушкин,Астраханская область
https://vk.com/gladkov_vv,https://vk.com/belgorod_region,Вячеслав Гладков,Белгородская область
https://vk.com/avbogomaz,https://vk.com/bryanskoblru,Александр Богомаз,Брянская область
https://vk.com/aaavdeevvl,https://vk.com/vladimir_33_region,Александр Авдеев,Владимирская область
,https://vk.com/region_34,Андрей Бочаров,Волгоградская область
https://vk.com/oa_kuvshinnikov,https://vk.com/vologda,Олег Кувшинников,Вологодская область
https://vk.com/gusev_36,https://vk.com/govvrn36,Александр Гусев,Воронежская область
https://vk.com/voskresenskiy_s,https://vk.com/ivanovo,Станислав Воскресенский,Ивановская область
https://vk.com/i_kobzev,https://vk.com/irkutskgov,Игорь Кобзев,Иркутская область
https://vk.com/aa_alikhanov,https://vk.com/gov39,Антон Алиханов,Калининградская область
https://vk.com/shapsha,https://vk.com/kalugaoblgov,Владислав Шапша,Калужская область
https://vk.com/tsivilev42,https://vk.com/kuzbass.official,Сергей Цивилёв,Кемеровская область
https://vk.com/aleksandrsokolov43,https://vk.com/kirovreg43,Александр Соколов,Кировская область
https://vk.com/sk_sitnikov,https://vk.com/kostromoblgov,Сергей Ситников,Костромская область
https://vk.com/shumkov_vadim,https://vk.com/kurgan_region,Вадим Шумков,Курганская область
https://vk.com/gubernator46,https://vk.com/kurskadm,Роман Старовойт,Курская область
https://vk.com/drozdenko_a,https://vk.com/pravitelstvo_lenobl,Александр Дрозденко,Ленинградская область
https://vk.com/ig_artamonov48,https://vk.com/lipetskayaoblast,Игорь Артамонов,Липецкая область
https://vk.com/nosovliveru,https://vk.com/49gov,Сергей Носов,Магаданская область
https://vk.com/andreyvorobiev,https://vk.com/mosregru,Андрей Воробьёв,Московская область
https://vk.com/chibis.andrey,https://vk.com/murman_sever,Андрей Чибис,Мурманская область
https://vk.com/glebnikitin_nn,https://vk.com/governmentnnov,Глеб Никитин,Нижегородская область
https://vk.com/nikitinandrey2017,https://vk.com/novreg,Андрей Никитин,Новгородская область
https://vk.com/andreytravnikov_nso,https://vk.com/nso,Андрей Травников,Новосибирская область
https://vk.com/vkhotsenko,https://vk.com/region55,Виталий Хоценко,Омская область
https://vk.com/dpaslerofficial,https://vk.com/government56,Денис Паслер,Оренбургская область
https://vk.com/klychkov_andrey_official,https://vk.com/orelregion_government,Андрей Клычков,Орловская область
https://vk.com/ov_melnichenko,https://vk.com/penzaoblgov,Олег Мельниченко,Пензенская область
https://vk.com/m.v_007,https://vk.com/pskov.oblast,Михаил Ведерников,Псковская область
https://vk.com/v.u.golubev,https://vk.com/pravitelstvo61,Василий Голубев,Ростовская область
https://vk.com/pv.malkov,https://vk.com/ryazangov,Павел Малков,Рязанская область
https://vk.com/azarov.life,https://vk.com/samaroblast,Дмитрий Азаров,Самарская область
https://vk.com/rbusargin,https://vk.com/saratovoblgov,Роман Бусаргин,Саратовская область
https://vk.com/limarenko_official,https://vk.com/sakhalingovernment,Валерий Лимаренко,Сахалинская область
https://vk.com/evgenykuyvashev,https://vk.com/svo196,Евгений Куйвашев,Свердловская область
https://vk.com/anohin67,https://vk.com/smolensk,Василий Анохин,Смоленская область
https://vk.com/mbegorov,https://vk.com/tambovgov,Максим Егоров,Тамбовская область
,https://vk.com/tverreg,Игорь Руденя,Тверская область
https://vk.com/mazur_70,https://vk.com/tomskgov,Владимир Мазур,Томская область
https://vk.com/dumin.live,https://vk.com/tularegion71,Алексей Дюмин,Тульская область
https://vk.com/aleksandr__moor,https://vk.com/mytyumen72,Адександр Моор,Тюменская область
https://vk.com/russkihay,https://vk.com/ul,Алексей Русских,Ульяновская область
https://vk.com/alexeytexler.official,https://vk.com/gov74,Алексей Текслер,Челябинская область
https://vk.com/evraevmikhail,https://vk.com/yaroslavskaiaoblast,Михаил Евраев,Ярославская область
https://vk.com/mossobyanin,https://vk.com/mos,Сергей Собянин,Москва
https://vk.com/a_beglov,https://vk.com/spb,Александр Беглов,Санкт-Петербург
https://vk.com/rostislav_goldshtein,https://vk.com/eaogov,Ростисла Гольдштейн,Еврейская автономная область
https://vk.com/juri_bezdudnyi,https://vk.com/okrugodnakomanda,Юрий Бездудный,Ненецкий автономный округ
https://vk.com/nv__komarova,https://vk.com/shtabugra,Наталья Комарова,Ханты-Мансийский автономный округ
,https://vk.com/chukotkagov,Владислав Кузнецов,Чукотский автономный округ
https://vk.com/artyukhov_da,https://vk.com/yanao_ru,Дмитрий Артюхов,Ямало-Ненецкий автономный округ